route_no,direction_no,latitude,longitude,yaw,score,image_name,direction
29,1,40.43772393,-79.99637693,212.8383179,16,vhQ6Pu_xTI5X1UsbNa_BJQ,Turn left at the 3rd cross street onto Fourth Ave
29,2,40.43758052,-79.99646951,110.6924744,234,tven30S2K3oIdv3F4DEocg,[goal]
30,0,40.43860589,-80.00234556,111.0770569,333,l2IPndvSeKDn5884Unkf8Q,Head southeast on Boulevard of the Allies toward Wood St
30,1,40.43726435,-79.99881339,111.4959183,142,qEW6kMi3Tovvlt9P1SzVTA,Turn right onto Grant St
30,2,40.43623091,-79.9990447,218.4463654,232,1BCjCUgLmLxpFQzi8sqkkw,Take the ramp to I-376 / Fort Pitt Bridge / Airport
30,3,40.43675038,-80.00139321,305.369812,230,AuFI3zAdY8zgBSd7igJv5Q,Merge onto I-376 W
30,4,40.43771178,-80.00382945,290.6526794,147,nF9y275qjdyfSMQhfTLnIw,Take exit 70D on the left for Stanwix St
30,5,40.43815921,-80.00533156,291.0244141,1084,Oim-0W7Alc3Szlj1Hwyueg,[goal]
31,0,40.43663468,-80.01811973,25.36367798,83,t8qQpN-VXLrh3vVVvuDPbQ,Head north on Meridan St toward Grandview Ave
31,1,40.43731529,-80.01779728,25.35289764,820,6vixMpwSskjnrGCAr5lcaA,Turn right onto Grandview Ave
31,2,40.43348754,-80.01010444,124.0882797,73,m-2Oph_nAPJcikMggsHXvw,Turn right onto Kearsarge St
31,3,40.43284517,-80.0100594,198.7173767,50,J0yruG-aMhzlLJX9PvKWLQ,Turn right onto Havelock Way
31,4,40.43278153,-80.01047751,281.0780334,1026,79bxbrT3gHe4VkObxhrwdg,[goal]
32,0,40.4343882,-80.02152308,13.82824993,353,9yz_GnYDE0jqvAaqMid6aw,Head north on Plymouth St toward Well St
32,1,40.43754385,-80.02076842,12.85217667,91,Tg3lDMlxynesjmRMLb6XDg,Plymouth St turns right and becomes Gilmartin Ln
32,2,40.43759413,-80.01992946,97.12162018,92,bXnqPkkSqyJHQXjAQQ9MxA,Turn left onto Oneida St
32,3,40.43813698,-80.01944878,36.13290787,836,LfJPz4E0EgSNXqmzy8WoFA,Turn right onto Grandview Ave
32,4,40.43440453,-80.01140281,131.1068878,129,4-VsgnVBbDRHyQ9qfcnSCg,Turn right onto Bertha St
32,5,40.43329026,-80.01152549,198.7290497,1501,EY28Z1Cw5jhURUSsFoEOxQ,[goal]
33,0,40.44233238,-79.9954013,110.4824066,16,WVpAlLdB3y5Vsh7K0XD2Nw,Head southeast on Seventh Ave toward Grant St
33,1,40.44224125,-79.99515727,110.5043564,346,BTPXViHkq984zT_HHGOI8g,Turn right at the 1st cross street onto Grant St
33,2,40.43958504,-79.9967359,213.4283752,82,j8qNl4H5vbu-oGYvtM53fQ,Turn right onto Fifth Ave
33,3,40.43964964,-79.99749376,291.1072998,218,3NNc9UqWLSXje5nMyc0bpQ,Turn left onto Cherry Way
33,4,40.43816502,-79.99884215,214.0733795,662,aoQJzI1hsVIejaTYFr9iIw,[goal]
34,0,40.43072288,-80.02126795,13.37534714,210,27QEDVFSSSpTrFL3U8Qawg,Head north on Oneida St toward Virginia Ave
34,1,40.43261532,-80.02082045,13.28472424,275,8WnAdYr2ChvlYSO8Pw4XfA,Turn right at the 1st cross street onto Virginia Ave
34,2,40.43233779,-80.01777655,97.99559784,268,WTblV6t-JcdIjVaQBPwDvQ,Turn left onto Olympia St
34,3,40.43450424,-80.01692298,16.96642685,46,Ejz2uxjBkHh9Z-Kiu7Yv6Q,Turn left at the 1st cross street onto Piermont St
34,4,40.43470876,-80.01720381,277.7666626,20,fAipmTmLWdEeaBSXKGjo-Q,Turn right at the 1st cross street onto Rohm Way
34,5,40.43473719,-80.0174123,16.73114014,819,nzglSqJ9i4KUqFxjff9eQg,[goal]
35,0,40.43086566,-80.01919747,17.89567757,162,cv6p54KhDi5ehZDix7BVUw,Head north on Hallock St toward Octave Way
35,1,40.43224746,-80.01875159,17.76488113,181,KmE-s333VWdyIF38xJTVqA,Turn left onto Virginia Ave
35,2,40.43272412,-80.02060105,277.2664185,636,Pm-Zuc4NQ1CMyr1Dt-KlzA,Turn right onto Oneida St
35,3,40.43813698,-80.01944878,36.13290787,532,LfJPz4E0EgSNXqmzy8WoFA,Turn left onto Grandview Ave
35,4,40.44080175,-80.02437467,279.1047058,443,84SMUmkdlVrmXQMc7o_76A,Grandview Ave turns slightly left and becomes Republic St
35,5,40.43764348,-80.02691697,195.2718048,1954,K7iAyVIvBXysTA0ko5gS3Q,[goal]
36,0,40.43631378,-80.01694422,195.207901,158,518FZ6Kr90d-C46VSeN6qQ,Head south on Rohm Way toward Piermont St
36,1,40.43492226,-80.01735668,196.7286987,216,nzglSqJ9i4KUqFxjff9eQg,Turn left at the 1st cross street onto Piermont St
36,2,40.43442144,-80.01519253,97.18505859,150,IfkswoncecQgnXZHHW7GoA,Turn right onto Bigham St
36,3,40.43322111,-80.01515337,192.2246399,61,Zk1deF1mDh7qlwudE1gQwA,Turn left at the 1st cross street onto W Sycamore St
36,4,40.43299239,-80.01466421,96.27204895,585,nA3FHyxObHw64ZbfeHlsUw,[goal]
37,0,40.43380281,-80.01502729,12.24230576,206,Gx6Oxz-RJVqu-Qrir95efQ,Head north on Bigham St toward Piermont St
37,1,40.43568031,-80.01464442,11.32975388,874,5FdYISmQ6qoluef254RjLg,Turn left onto Grandview Ave
37,2,40.44022296,-80.0228682,297.1904602,86,g7bv_rgHl7j5gcGyFaM89Q,Turn left onto Shaler St
37,3,40.43982123,-80.02353797,223.0266876,20,HPKG5BAsxxZiDNxzN183Ig,Turn left at the 1st cross street onto Rutledge St
37,4,40.4397113,-80.02364059,121.8158264,1186,QOhJ8jd_K9QGEAHgrDz1Xg,[goal]
38,0,40.43474504,-80.0254914,30.6567173,543,zoAltqWZvcl3zj812glxHw,Head northeast on Edith St toward Well St
38,1,40.4393944,-80.02335065,13.43974495,182,utRp82VIRYfeJZxx-NspAg,Turn left onto Rutledge St
38,2,40.44037111,-80.0249199,297.9371033,217,trPB0vDPGUfHunT9xeoAeQ,Turn left onto Republic St
38,3,40.43903406,-80.02639274,222.8522186,664,JVTjXF23keGWU1cF4eEr1Q,Turn right onto Greenleaf St
38,4,40.43975449,-80.03106424,25.97894096,1606,v7oWgAVfZvS-ay9_TEFV2Q,[goal]
39,0,40.42592402,-80.00261492,181.3359833,21,2ss2Lq1bqNjpUcQM8KPNmA,Head south on Haberman Ave toward Kathleen St
39,1,40.42572618,-80.00261953,181.3058319,210,RAUELcS-nky5SUukjrmShw,Turn right onto Kathleen St
39,2,40.42549935,-80.00486922,268.4522705,7,QXzGfvtrcQ8OoW3ZyxbQ4A,Turn left onto Ruth St
39,3,0,0,0,238,1nwNEZi-eQq-5L6iI8FlKQ,[goal]
40,0,40.44005177,-80.00624505,110.5243835,94,Alw2HvLV7MFa7sbwAkfk1g,Head southeast on Boulevard of the Allies toward Stanwix St
40,1,40.43970453,-80.00530068,110.0919724,123,te4PoZ74EDQT-2IxoBZ7aA,Turn right onto Stanwix St
40,2,40.43877886,-80.00558589,215.0517426,160,#NAME?,Turn right onto Fort Pitt Blvd
40,3,40.43911463,-80.00720281,291.2521057,377,vXwTuGAM4EsL8x4bKt0t6A,[goal]
41,0,40.43358328,-80.0166953,14.49678707,95,#NAME?,Head north on Sewer Way toward Piermont St
41,1,40.43439631,-80.01648536,14.48360348,85,EkuKn_VgY04HHPC8lJ2wvQ,Turn right onto Piermont St
41,2,40.43448488,-80.01565942,98.41137695,15,Z4TphQsP2RL1KnzDJvSkiA,Turn right at the 2nd cross street onto Redoak Way
41,3,40.43445403,-80.01545058,191.9392242,195,kDxeJvgB7o5C-FMqtB9GQA,[goal]
42,0,40.43426258,-80.02474359,30.49998093,636,1yGcXZuAOPcXq3hXpv1h0Q,Head northeast on Augusta St toward Well St
42,1,40.43957269,-80.02205699,42.49229813,486,0XYAEAvBKjdKsGDnFaskiA,Turn right onto Grandview Ave
42,2,40.43732982,-80.01738253,117.7479477,546,89abqKuuAbjjsczWmJYeyQ,Turn right onto Hallock St
42,3,40.43264372,-80.01862721,197.0064697,181,NU_Tz-M5GcnYi8eM7J50wQ,Turn right onto Virginia Ave
42,4,40.43272412,-80.02060105,277.2664185,221,Pm-Zuc4NQ1CMyr1Dt-KlzA,Turn right onto Oneida St
42,5,40.4345155,-80.0203814,13.78514194,2070,5Lrv8A4gs6TUnrXvk5fEOA,[goal]
43,0,40.43783323,-79.99712387,111.2142563,43,14mhDkWA_Cuh891j0ATVxw,Head southeast on Fourth Ave toward Ross St
43,1,40.43764124,-79.99662941,110.7978439,66,yzlE5UDOL6ik-1LbT0x4gA,Turn right at the 1st cross street onto Ross St
43,2,40.43720934,-79.99670962,212.8891602,244,bWrwNDzoLwm0rOmW6BmWNA,Turn right at the 1st cross street onto Third Avenue
43,3,40.43793492,-79.99916535,290.401123,353,WBn2DqIZ_OGzElvtUNzTGQ,[goal]
44,0,40.43593842,-79.99509591,286.3605347,452,W65ghkWHyLcG3Y2i52rapA,Head west on Boulevard of the Allies toward Grant St
44,1,40.43771146,-79.99997063,291.0906372,286,fVIOaw6nDi3q85CuhWWtLg,Turn right onto Smithfield St
44,2,40.43988504,-79.99876535,33.67263412,78,yBIteXDB6p91SmboS--Alw,Turn right onto Fifth Ave
44,3,40.43984502,-79.99800605,110.6930466,816,UYtMY3tKnLjlEZF-vKHflw,[goal]
45,0,40.4424027,-79.99584022,214.7820435,319,0msQeHsLLgyvDTHrCJVUaQ,Head southwest on William Penn Pl toward Strawberry Way
45,1,40.43985534,-79.99761799,220.0106659,288,JPlTvHlognBU-SlgAW0B-g,Continue onto Cherry Way
45,2,40.4376278,-79.99920059,208.9374847,203,#NAME?,Turn right onto Boulevard of the Allies
45,3,40.43816616,-80.00118605,290.5360107,810,TIBYq1bl3uMa9JBz3hXYEA,[goal]
46,0,40.44153689,-80.00248703,112.3941956,175,QO43FounG4sFAYWtyICQ6A,Head southeast on Fifth Ave toward Market St
46,1,40.44080237,-80.0005562,110.6571045,445,E5TTyOt9lHPCqlQ2cXZtBg,Turn right onto Wood St
46,2,40.4373507,-80.00266432,186.0797424,154,2xY8cREGGAQKfV5We4z3DA,Turn left onto Fort Pitt Blvd
46,3,40.43663666,-80.00127257,112.8170853,42,TTv7jhYjIUcsdAZ6QEDUaw,Turn right at the 1st cross street onto Smithfield St
46,4,40.43638163,-80.00116617,207.8200226,135,R-u0keOINNJyUgLs5mWilg,Continue onto Smithfield St Bridge
46,5,40.43529941,-80.00185087,213.1596832,951,y9hKzQCFDoDfZD2uWCjdUA,[goal]
47,0,40.43682113,-80.02583131,37.91250992,440,SyWwx29iGX3V2DLP6m4Uxw,Head northeast on Shaler St toward Greenleaf St
47,1,40.44015745,-80.02322433,43.01944351,604,ql9BAer6gS3E0_T5XJz5xw,Turn right onto Grandview Ave
47,2,40.43732982,-80.01738253,117.7479477,278,89abqKuuAbjjsczWmJYeyQ,Turn right onto Hallock St
47,3,40.43497974,-80.01792157,196.7495575,33,559pRjUOKqCTkG9ZoM_Rog,Turn left onto Piermont St
47,4,40.43478714,-80.01777365,97.87265015,1355,P8XYXlxYWXygAPr6xCqWHA,[goal]
